en;nl;fr;de;sv;pl
State;Provincie;Région;Bundesland;Land;Kraj
Archive quotations after publishing;Offertes archiveren na publicatie;Archiver les devis après leur publication;Angebot nach Veröffentlichung archivieren;Arkivera offerter efter offentliggörandet.;Archiwizuj ofertę po opublikowaniu
Quotations that are created with a previous published version will get the status 'Archived' and can no longer be edited.;Offertes die zijn gemaakt met een eerder gepubliceerde versie krijgen de status 'Gearchiveerd' en kunnen niet meer worden bewerkt.;Les offres créées à partir d'une version publiée précédente obtiennent le statut ""Archivé"" et ne peuvent plus être modifiées.;Angebote die erstellt wurden mit einer ehemals veröffentlichten Version, erhalten den Status „Archiviert“ und können nicht mehr bearbeitet werden.;Tidigare offentliggjorda offerter kommer att få statusen ""Arkiverad"" och kan inte längre redigeras.;Oferty utworzone za pomocą poprzedniej wersji otrzymają status „Zarchiwizowane” i nie będzie można ich już edytować.
Note: copying and revising archived quotations may cause broken configurations. Please use the configuration code if you want to use the same configuration that is placed in an archived quotation.;Opmerking: het kopiëren en herzien van gearchiveerde offertes kan leiden tot defecte configuraties. Gebruik de configuratiecode als u dezelfde configuratie wilt gebruiken die in een gearchiveerde offerte is geplaatst.;Remarque : la copie et la révision des devis archivées peuvent entraîner la rupture des configurations. Veuillez utiliser le code de configuration si vous souhaitez utiliser la même configuration que celle placée dans un devis archivé.;Hinweis: Das Kopieren und Überarbeiten von archivierten Angeboten kann zu Fehlkonfigurationen führen. Verwenden Sie den Konfigurationscode, wenn Sie dieselbe Konfiguration verwenden möchten, die im Angebotsarchiv eingeordnet wurde.Drücken Sie zum Aktivieren der Screenreader-Unterstützung Ctrl+Alt+Z. Drücken Sie Ctrl+Schrägstrich, um weitere Informationen zu Tastenkombinationen zu erhalten.;Obs: kopiering och revidering av arkiverade offerter kan leda till att konfigurationen inte längre fungerar. Använd konfigurationskoden om du vill behålla samma konfiguration som finns i en arkiverad offert.;Uwaga: kopiowanie i poprawianie zarchiwizowanych ofert może spowodować uszkodzenie konfiguracji. Użyj kodu konfiguracji, jeśli chcesz użyć tej samej konfiguracji, która jest umieszczona w zarchiwizowanej ofercie.
Default status for archiving quotations;Standaardstatus voor het archiveren van offertes;Statut par défaut pour les devis archivés;Standardstatus für die Archivierung von Angeboten;Standardstatus vid arkivering av offerter.;Domyślny status archiwizacji ofert
Default status for revised quotations;Standaardstatus voor herziene offertes;Statut par défaut pour les devis révisés;Standardstatus für überarbeitete Angebote;Standardstatus vid revidering av offerter.;Stan domyślny dla poprawionych ofert
Default status for expired quotations;Standaardstatus voor verlopen offertes;Statut par défaut des offres expirées;Standardstatus für abgelaufene Angebote;Standardstatus på förfallna offerter.;Stan domyślny dla wygasłych ofert
Default CRM account;Standaard CRM-account;Compte CRM par défaut;Standard CRM-Konto;Standard CRM-konto.;Domyślne konto CRM
Select a default CRM that is automatically set in the quotation as the seller field.;Selecteer een standaard-CRM die automatisch in de offerte wordt ingesteld als verkoper.;Sélectionnez un CRM par défaut qui est automatiquement défini dans les devis comme champ du vendeur.;Wählen Sie ein Standard-CRM, das im Angebot automatisch als Verkäufer eingeordnet wird.;Välj ett standard CRM som automatiskt ställs in som säljare i offerten.;Wybierz domyślny CRM, który jest automatycznie ustawiany w ofercie jako pole sprzedawcy.
Hide total quotation discount field;Verberg totale offertekorting veld;Masquer le champ de remise totale de l'devis;Blende Schirmfeld des Gesamtangebotsrabatt aus;Dölj totalrabattfältet i offerten.;Ukryj pole rabatu dla oferty
